--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.45      o__Burkholderiales (UID4001)        108         549           242         4    515   29   0   0   1       99.55            6.41              43.59          
  bin.53         k__Bacteria (UID2570)            433         272           182         1    260   11   0   0   0       99.45            5.49              27.27          
  bin.86       o__Rickettsiales (UID3809)          83         324           211         3    304   8    7   1   1       98.58           12.80              32.39          
  bin.31       o__Rickettsiales (UID3809)          83         324           211         4    312   5    3   0   0       98.10            4.74               7.14          
  bin.98         k__Bacteria (UID2982)             88         229           147         5    219   5    0   0   0       96.60            1.95              20.00          
  bin.97         k__Bacteria (UID3187)            2258        185           114         11   170   4    0   0   0       96.56            3.51              50.00          
  bin.75    c__Betaproteobacteria (UID3888)       323         387           234         18   346   23   0   0   0       95.67            5.54              43.48          
  bin.59         k__Bacteria (UID2982)             88         230           148         7    222   1    0   0   0       95.27            0.34              100.00         
  bin.44    c__Gammaproteobacteria (UID4274)      112         580           289         20   546   13   1   0   0       95.05            3.48              75.00          
  bin.48         k__Bacteria (UID2982)             88         227           146         9    211   7    0   0   0       94.94            3.42              100.00         
  bin.8          k__Bacteria (UID1453)            901         171           117         6    158   6    1   0   0       94.87            5.21              66.67          
  bin.17       p__Bacteroidetes (UID2591)         364         303           203         12   286   5    0   0   0       94.58            1.89              60.00          
  bin.40         k__Bacteria (UID2570)            433         272           182         11   254   7    0   0   0       94.51            3.30              57.14          
  bin.55    c__Gammaproteobacteria (UID4274)      112         580           289         32   537   11   0   0   0       93.66            2.19              81.82          
  bin.54      o__Burkholderiales (UID4001)        108         552           243         74   466   12   0   0   0       93.57            2.41              91.67          
  bin.33      o__Actinomycetales (UID1696)        455         315           190         24   257   33   1   0   0       90.63           13.41              94.44          
  bin.67       p__Bacteroidetes (UID2591)         364         303           203         45   253   5    0   0   0       89.91            2.13               0.00          
  bin.16    c__Betaproteobacteria (UID3959)       235         419           211         46   307   63   3   0   0       89.85           15.46              97.22          
  bin.56    c__Betaproteobacteria (UID3888)       323         387           234         33   326   28   0   0   0       89.40            8.80              96.43          
  bin.64          k__Bacteria (UID203)            5449        103            58         11    74   18   0   0   0       89.18            7.37              94.44          
  bin.3          k__Bacteria (UID3187)            2258        182           112         16   166   0    0   0   0       88.78            0.00               0.00          
  bin.93      o__Burkholderiales (UID4000)        193         427           214         45   378   4    0   0   0       88.47            0.64              25.00          
