--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.59      o__Burkholderiales (UID4001)        108         549           242         4    506   37   1   0   1       99.55            8.41              46.00          
  bin.56         k__Bacteria (UID2570)            433         272           182         1    260   11   0   0   0       99.45            5.49              27.27          
  bin.15       o__Rickettsiales (UID3809)          83         324           211         3    307   5    7   1   1       98.58           11.37              38.33          
  bin.83       o__Rickettsiales (UID3809)          83         324           211         4    312   5    3   0   0       98.10            4.74               7.14          
  bin.5          k__Bacteria (UID3187)            2258        185           114         11   170   4    0   0   0       96.56            3.51              50.00          
  bin.57         k__Bacteria (UID2982)             88         229           147         6    220   3    0   0   0       95.92            1.50              33.33          
  bin.63         k__Bacteria (UID2982)             88         230           148         7    222   1    0   0   0       95.27            0.34              100.00         
  bin.81    c__Gammaproteobacteria (UID4274)      112         580           289         20   546   13   1   0   0       95.05            3.48              75.00          
  bin.13         k__Bacteria (UID2982)             88         227           146         9    214   4    0   0   0       94.94            2.05              100.00         
  bin.31         k__Bacteria (UID1453)            901         171           117         6    158   6    1   0   0       94.87            5.21              66.67          
  bin.94       p__Bacteroidetes (UID2591)         364         303           203         12   286   5    0   0   0       94.58            1.89              60.00          
  bin.22         k__Bacteria (UID2570)            433         272           182         11   255   6    0   0   0       94.51            2.75              50.00          
  bin.62    c__Betaproteobacteria (UID3888)       323         387           234         35   340   12   0   0   0       94.48            3.02              66.67          
  bin.96      o__Burkholderiales (UID4001)        108         552           243         74   469   9    0   0   0       94.35            1.89              88.89          
  bin.3     c__Gammaproteobacteria (UID4274)      112         580           289         32   540   8    0   0   0       93.66            2.02              75.00          
  bin.65      o__Actinomycetales (UID1696)        455         315           190         25   259   30   1   0   0       90.36           12.36              93.94          
  bin.85       p__Bacteroidetes (UID2591)         364         303           203         45   253   5    0   0   0       89.91            2.13               0.00          
  bin.42    c__Betaproteobacteria (UID3959)       235         419           211         48   316   52   3   0   0       88.91           13.03              96.72          
  bin.41         k__Bacteria (UID3187)            2258        182           112         16   166   0    0   0   0       88.78            0.00               0.00          
