----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.44      o__Burkholderiales (UID4001)        108         549           242         2    345   166   28   7   1       99.74           48.87              49.39          
  bin.35         k__Bacteria (UID2570)            433         272           182         1    260    11   0    0   0       99.45            5.49              27.27          
  bin.88       o__Rickettsiales (UID3809)          83         324           211         3    301    4    13   0   3       98.58           22.75              13.73          
  bin.68    c__Betaproteobacteria (UID3888)       323         387           234         7    276    93   11   0   0       98.29           27.17              37.30          
  bin.79       o__Rickettsiales (UID3809)          83         324           211         4    312    5    3    0   0       98.10            4.74               7.14          
  bin.103        k__Bacteria (UID2982)             88         229           147         5    221    3    0    0   0       96.60            1.50              33.33          
  bin.21         k__Bacteria (UID3187)            2258        185           114         11   170    4    0    0   0       96.56            3.51              50.00          
  bin.61         k__Bacteria (UID2982)             88         230           148         7    222    1    0    0   0       95.27            0.34              100.00         
  bin.56    c__Gammaproteobacteria (UID4274)      112         580           289         20   546    13   0    1   0       95.05            3.66              68.42          
  bin.47         k__Bacteria (UID2982)             88         227           146         9    211    7    0    0   0       94.94            3.42              100.00         
  bin.72         k__Bacteria (UID1453)            901         171           117         6    158    6    1    0   0       94.87            5.21              66.67          
  bin.11       p__Bacteroidetes (UID2591)         364         303           203         12   286    5    0    0   0       94.58            1.89              60.00          
  bin.36         k__Bacteria (UID2570)            433         272           182         11   254    7    0    0   0       94.51            3.30              57.14          
  bin.52      o__Burkholderiales (UID4001)        108         552           243         68   461    22   1    0   0       94.33            2.91              72.00          
  bin.73    c__Gammaproteobacteria (UID4274)      112         580           289         32   540    8    0    0   0       93.66            2.02              75.00          
  bin.30      o__Actinomycetales (UID1696)        455         315           190         22   257    35   1    0   0       91.42           14.46              89.47          
  bin.10    c__Betaproteobacteria (UID3959)       235         419           211         41   290    84   4    0   0       90.74           23.25              94.79          
  bin.104      p__Bacteroidetes (UID2591)         364         303           203         23   274    6    0    0   0       90.42            2.15              16.67          
  bin.58    c__Betaproteobacteria (UID3888)       323         387           234         32   316    38   1    0   0       89.83           11.46              95.12          
  bin.69         k__Bacteria (UID3187)            2258        182           112         15   164    3    0    0   0       89.68            1.79              100.00         
  bin.71      o__Burkholderiales (UID4000)        193         427           214         45   378    4    0    0   0       88.47            0.64              25.00          
  bin.40         k__Bacteria (UID2495)            2993        139            83         19   118    2    0    0   0       87.22            1.28              50.00          
  bin.9       o__Burkholderiales (UID4001)        108         552           243         88   425    37   2    0   0       86.94            5.73              83.72          
  bin.38      o__Actinomycetales (UID1696)        455         315           190         60   246    9    0    0   0       86.88            3.41              88.89          
  bin.24      o__Actinomycetales (UID1696)        455         315           190         39   244    32   0    0   0       85.35            8.36              93.75          
  bin.14      o__Burkholderiales (UID4001)        108         549           242         81   455    13   0    0   0       83.58            2.63              76.92          
