---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.39          k__Bacteria (UID203)            5449        104            58         0     36   56   11   1   0       100.00          62.57              73.68          
  bin.79         k__Bacteria (UID2570)            433         272           182         1    260   11   0    0   0       99.45            5.49              27.27          
  bin.87       o__Rickettsiales (UID3809)          83         324           211         3    304   6    9    1   1       98.58           14.22              32.14          
  bin.36       o__Rickettsiales (UID3809)          83         324           211         4    309   8    3    0   0       98.10            5.29               5.88          
  bin.67          k__Bacteria (UID203)            5449        104            58         6     49   37   10   2   0       97.49           61.71              51.90          
  bin.38         k__Bacteria (UID2982)             88         229           147         5    221   3    0    0   0       96.60            1.50              33.33          
  bin.23         k__Bacteria (UID3187)            2258        185           114         11   170   4    0    0   0       96.56            3.51              50.00          
  bin.95         k__Bacteria (UID2982)             88         230           148         7    222   1    0    0   0       95.27            0.34              100.00         
  bin.69    c__Gammaproteobacteria (UID4274)      112         580           289         19   542   18   0    1   0       95.12            4.28              58.33          
  bin.101        k__Bacteria (UID2982)             88         227           146         9    211   7    0    0   0       94.94            3.42              100.00         
  bin.33         k__Bacteria (UID1453)            901         171           117         6    158   6    1    0   0       94.87            5.21              66.67          
  bin.84       p__Bacteroidetes (UID2591)         364         303           203         12   287   4    0    0   0       94.58            1.40              75.00          
  bin.49         k__Bacteria (UID2570)            433         272           182         11   254   7    0    0   0       94.51            3.30              57.14          
  bin.52      o__Burkholderiales (UID4001)        108         552           243         68   466   17   1    0   0       94.33            2.77              85.00          
  bin.29      o__Actinomycetales (UID1590)        562         286           170         15   235   35   1    0   0       93.92           14.76              81.58          
  bin.71    c__Gammaproteobacteria (UID4274)      112         580           289         28   544   8    0    0   0       93.89            2.02              75.00          
  bin.59          k__Bacteria (UID203)            5449        104            58         11    77   16   0    0   0       93.35           10.61              93.75          
